Player Name,Player ID
Kevin Danso,794953
Mathys Tel,1048888
Patrick Dorgu,1397168
Chido Obi-Martin,1566204
Tyler Fredricson,1142182
Sekou Kone,1597198
Jack Moorhouse,1533758
Willian,31417
Wayne Hennessey,16620
Nico González,954056
Iwan Morgan,1470048
Ishé Samuels-Smith,1196791
Shumaira Mheuka,1402787
Julio Soler,1201520
Hubert Graczyk,1014432
Sean Neave,1511675
Genesis Antwi,1402709
Dermot Mee,1005664
Benjamin Fredrick,1470532
